event,scoreNode,startDateScoreNode,nameScoreNode,locationTypeScoreNode,postalCodeScoreNode,locationSameAsScoreNode,urlScoreNode,additionalTypeScoreNode,descriptionScoreNode,imageUrlScoreNode,organizerTypeScoreNode,organizerSameAsScoreNode,performerTypeScoreNode,performerSameAsScoreNode,offerTypeScoreNode,offerUrlScoreNode,addressTypeScoreNode,streetAddressScoreNode,addressLocalityScoreNode,addressRegionScoreNode,addressCountryScoreNode,endDateScoreNode,eventStatusScoreNode,eventAttendanceModeScoreNode,doorTimeScoreNode,durationScoreNode,mainEntityOfPageUrlScoreNode,scorePercent,name,score
http://www.kingstongrand.ca/events/murray-mclauchlan-hourglass,_:e5,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Murray McLauchlan ... Hourglass,49
http://www.kingstongrand.ca/events/mw3-brahms-schumann,_:e6,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Brahms & Schumann,49
http://www.kingstongrand.ca/events/the-nutcracker-2024,_:e7,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,"""The Nutcracker""",49
http://www.kingstongrand.ca/events/goodnight-moon-the-runaway-bunny,_:e8,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,"""Goodnight Moon & The Runaway Bunny""",49
http://www.kingstongrand.ca/events/tim-baker-all-hands,_:e9,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Tim Baker & All Hands,49
http://www.kingstongrand.ca/events/the-jersey-nights-before-christmas-show,_:f0,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,The Jersey Nights Before Christmas Show,49
http://www.kingstongrand.ca/events/the-debaters-live-0,_:f1,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,The Debaters Live,49
http://www.kingstongrand.ca/events/candlelight-christmas-2024,_:f2,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Candlelight Christmas,49
http://www.kingstongrand.ca/events/elvis-christmas,_:f3,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Elvis: A Christmas Special starring Pete Paquette,49
http://www.kingstongrand.ca/events/o-christmas-tea-2024,_:f4,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,O Christmas Tea: A British Comedy,49
http://www.kingstongrand.ca/events/pavlo-john-mcdermott2024,_:f5,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,PAVLO & John McDermott,49
http://www.kingstongrand.ca/events/cantabile24_night-of-wonder,_:f6,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,NIGHT OF WONDER,49
http://www.kingstongrand.ca/events/natalie-macmaster-and-donnell-leahy-a-celtic-family-christmas-0,_:f7,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Natalie MacMaster and Donnell Leahy,49
http://www.kingstongrand.ca/events/road-apples-2025,_:f8,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,ROAD APPLES,49
